model,scope,n_images,ap,ap50,ap75,ar100,best_tau_mae,mae_at_best,f1_at_best_tau,best_tau_f1,f1_max
cfd17_frozen_s0_best,full,36632,0.3966,0.69673,0.4083,0.54327,0.35,0.64809,0.69778,0.35,0.69778
cfd17_frozen_s0_best,brackish_dataset,3127,0.32336,0.67582,0.25324,0.43664,0.4,0.24464,0.71342,0.35,0.71872
cfd17_frozen_s0_best,coralscapes,392,0.26918,0.58467,0.21093,0.39636,0.35,1.98469,0.62124,0.35,0.62124
cfd17_frozen_s0_best,deep_vision,305,0.32432,0.65233,0.27908,0.54261,0.3,1.59672,0.6461,0.25,0.65599
cfd17_frozen_s0_best,deepfish,53,0.50421,0.79062,0.60742,0.62987,0.2,0.35849,0.81871,0.25,0.82927
cfd17_frozen_s0_best,f4k,191,0.36689,0.76665,0.30582,0.48872,0.25,0.65969,0.73016,0.3,0.73219
cfd17_frozen_s0_best,fathomnet,3999,0.33356,0.65655,0.31062,0.4947,0.35,0.69992,0.67863,0.35,0.67863
cfd17_frozen_s0_best,fishclef,2604,0.43952,0.80374,0.44476,0.58006,0.25,0.58141,0.75811,0.25,0.75811
cfd17_frozen_s0_best,kakadu,4000,0.54075,0.86953,0.61943,0.65209,0.35,0.5335,0.82996,0.35,0.82996
cfd17_frozen_s0_best,marine_detect,4000,0.34519,0.61291,0.35084,0.58469,0.4,1.185,0.59922,0.35,0.61441
cfd17_frozen_s0_best,mit_river_herring,4000,0.24717,0.61846,0.11038,0.42029,0.35,0.255,0.6522,0.3,0.65313
cfd17_frozen_s0_best,noaa_puget,4000,0.12225,0.23593,0.11709,0.3333,0.45,0.227,0.2492,0.3,0.32566
cfd17_frozen_s0_best,project_natick,215,0.13916,0.36492,0.03691,0.39608,0.45,0.21395,0.2,0.3,0.45045
cfd17_frozen_s0_best,roboflow_fish,406,0.40734,0.72115,0.40834,0.59793,0.35,1.133,0.7054,0.35,0.7054
cfd17_frozen_s0_best,salmon_computer_vision,4000,0.49825,0.73555,0.64373,0.74109,0.65,0.343,0.67974,0.6,0.69981
